Timestamp,"By clicking ""I agree"" below, you confirm that you have read and understood the above terms and voluntarily consent to participate in this survey.",Age,Gender,Current Occupation,Monthly income salary or allowance,How often do you shop for groceries in a month?,How much do you spend on groceries every month?,What grocery stores do you usually buy your necessities from? (Select all that apply),What primary factors do you find important in a  grocery store? (Select all that apply),What payment methods do you use in paying for groceries? (Select all that apply),Among the following when do you usually take a trip to the grocery store?,What would be the duration that you typically spend in a grocery store?,Which among the following products and goods do you usually buy? (Select all that apply),Which section of a grocery store do you spend the most time during a typical visit? (Select all that apply),Which section of a grocery store do you spend the least time during a typical visit? (Select all that apply),Which products do you usually forget when you go grocery shopping? (Select all that apply),Should there be a designated area for sampling new products in the store?,Should there be a designated area for products that have discounts and promotions?,Where should checkout counters be placed at?,Would you like express checkout lanes for customers with limited number of items?,Do you use baggage counters at the groceries you go at to leave your baggage?,"Based from the choices below, select a layout that you most prefer.","Additional comments, suggestions, or other experiences related to how a grocery store should be planned and laid out. (Optional)"
4/21/2024 23:48:13,I agree,35-44,Female,Employed (full-time),"₱43,828 to ₱76,669",Once a month,"₱10,001 - ₱15,000","Robinsons Supermarket, SaveMore, SM Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores, Cleanliness: Well-maintained and organized store, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment","Cash, Debit Card",Late Morning (10:00 AM - 12:00 PM),1-2 hours,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Fresh Produce: Fruits, vegetables, and fresh herbs, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Milk, Bread, Eggs, Toilet Paper, Fresh Vegetables, Fresh Fruits, Cheese, Butter, Coffee, Snacks, Condiments, Toiletries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,None
4/21/2024 23:49:56,I agree,35-44,Male,Employed (full-time),"₱131,484 to ₱219,140",Once a month,"₱15,001 - ₱20,000","Sunshine Supermarket, Victoria Supermarket, Puregold, C and Triple A Supermarket, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout","Cash, Debit Card, Credit Card",Late Morning (10:00 AM - 12:00 PM),More than 2 hours,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Fresh Produce: Fruits, vegetables, and fresh herbs, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces","Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods",Condiments,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,none
4/21/2024 23:53:10,I agree,25-34,Female,Employed (full-time),"₱43,828 to ₱76,669",Once a month,"₱5,000 - ₱10,000","Puregold, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Location: Proximity to home or workplace, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment","Cash, Credit Card",Late Morning (10:00 AM - 12:00 PM),1-2 hours,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces","Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Condiments, Batteries, Toiletries, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,
4/22/2024 0:18:10,I agree,18-24,Female,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","Sunshine Supermarket, Victoria Supermarket, Puregold, SM Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace",Cash,Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Spices, Snacks, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location.",Layout A,
4/22/2024 0:37:18,I agree,18-24,Female,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","SaveMore, Sunshine Supermarket, Victoria Supermarket, Puregold, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Brand Loyalty: Preferring specific brands or stores, Product Quality: Fresh and high-quality items",Cash,Afternoon (12:00 PM - 4:00 PM),1-2 hours,"Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Specialty Sections: Ethnic foods, organic products, and gluten-free items","Spices, Snacks, Condiments, Batteries","Yes, create a dedicated sampling station","No, integrate discounted products throughout the store",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout A,
4/22/2024 0:38:50,I agree,18-24,Male,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","Sunshine Supermarket, Victoria Supermarket, Puregold, C and Triple A Supermarket, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment",Cash,Morning (6:00 AM - 10:00 AM),30 minutes to 1 hour,"Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Spices, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,
4/22/2024 0:55:48,I agree,18-24,Male,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","SaveMore, Victoria Supermarket, Puregold, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace",Cash,Late Morning (10:00 AM - 12:00 PM),15-30 minutes,"Fresh Produce: Fruits, vegetables, and fresh herbs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Pantry Staples: Canned goods, grains, pasta, and sauces, Beverages: Soft drinks, juices, water, and alcoholic beverages","Condiments, Batteries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location.",Layout C,
4/22/2024 0:58:40,I agree,18-24,Female,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","SaveMore, Sunshine Supermarket, Victoria Supermarket, Puregold, C and Triple A Supermarket, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items",Cash,Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Beverages: Soft drinks, juices, water, and alcoholic beverages","Snacks: Chips, cookies, nuts, and snacks","Snacks, Condiments, Batteries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout A,
4/22/2024 1:01:24,I agree,18-24,Female,Employed (full-time),"Below ₱10,957",Once a month,"Less than ₱5,000","SaveMore, Sunshine Supermarket, Victoria Supermarket, C and Triple A Supermarket, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment","Cash, Digital Wallets",Late Morning (10:00 AM - 12:00 PM),30 minutes to 1 hour,"Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods","Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Dairy: Milk, cheese, yogurt, and eggs","Butter, Spices, Snacks, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location.",Layout A,
4/22/2024 1:07:23,I agree,18-24,Male,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","SaveMore, Victoria Supermarket, Puregold, C and Triple A Supermarket, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Cleanliness: Well-maintained and organized store, Store Atmosphere: Pleasant shopping environment",Cash,Morning (6:00 AM - 10:00 AM),Less than 15 minutes,"Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces","Snacks: Chips, cookies, nuts, and snacks","Spices, Condiments, Batteries, Toiletries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout A,
4/22/2024 1:09:29,I agree,18-24,Male,Student,"Below ₱10,957",Once a month,"Less than ₱5,000","SaveMore, Sunshine Supermarket, Puregold, C and Triple A Supermarket, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items","Cash, Digital Wallets",Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods","Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Dairy: Milk, cheese, yogurt, and eggs",Condiments,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,
4/22/2024 1:35:14,I agree,25-34,Female,Employed (full-time),"₱43,828 to ₱76,669",Once a month,"₱10,001 - ₱15,000","Robinsons Supermarket, SaveMore, Sunshine Supermarket, SM Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Cleanliness: Well-maintained and organized store, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment","Cash, Credit Card",Late Morning (10:00 AM - 12:00 PM),1-2 hours,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs","Toilet Paper, Fresh Vegetables, Toiletries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout A,
4/22/2024 1:37:06,I agree,45-59,Female,Retired,"₱131,484 to ₱219,140",Once a month,"₱15,001 - ₱20,000","Robinsons Supermarket, Puregold, C and Triple A Supermarket, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout","Cash, Credit Card",Late Morning (10:00 AM - 12:00 PM),More than 2 hours,"Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Batteries, Toiletries, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout A,
4/22/2024 1:38:38,I agree,25-34,Female,Employed (full-time),"₱21,914 to ₱43,828",Once a month,"₱5,000 - ₱10,000","Robinsons Supermarket, SaveMore, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment","Cash, Credit Card",Late Morning (10:00 AM - 12:00 PM),1-2 hours,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Fresh Produce: Fruits, vegetables, and fresh herbs, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Beverages: Soft drinks, juices, water, and alcoholic beverages","Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Condiments, Batteries, Toiletries, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,
4/22/2024 7:34:54,I agree,18-24,Female,Unemployed,"Below ₱10,957",Rarely,"Less than ₱5,000",SaveMore,"Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products",Cash,Afternoon (12:00 PM - 4:00 PM),Less than 15 minutes,"Bakery: Bread, pastries, and baked goods, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Snacks: Chips, cookies, nuts, and snacks","Bakery: Bread, pastries, and baked goods",Bread,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,
4/22/2024 14:16:34,I agree,25-34,Female,Self-employed,"₱10,957 to ₱21,914",Once a week,"Less than ₱5,000",SaveMore,"Convenience: Easy access to essential items, Variety: Having a wide selection of products to choose from, Cleanliness: Well-maintained and organized store","Cash, Mobile Payment Apps (GCash, Paymaya, GoTyme, and others)",Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Deli/Meat: Cold cuts, cheeses, and meats, Household Supplies: Cleaning products, toiletries, and paper goods","Deli/Meat: Cold cuts, cheeses, and meats, Household Supplies: Cleaning products, toiletries, and paper goods","Bakery: Bread, pastries, and baked goods",Snacks,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","No, I prefer to keep my baggage with me at all times.",Layout A,
